id,true_intent,pred_intent,escalation,reply,correctness,groundedness,helpfulness,tone,completeness,overall,reason
1,baggage_issue,baggage_issue,AUTO-HANDLE,"I'm sorry about the trouble with your bag. I'll help trace the bag — please share your baggage claim/file reference (e.g. DFWAA12345) and delivery address. For reference, in similar cases we've typically responded like: ""@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.295
2,customer_service,customer_service,AUTO-HANDLE,"I'm sorry about that experience. I'm sorry about that experience — please share flight/date and what happened so I can flag it properly. For reference, in similar cases we've typically responded like: ""@customer We'd like to help. Please DM your AAdvantage number and booking details for review."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.343
3,flight_delay_cancel,flight_delay_cancel,HUMAN,"I'm sorry your flight was disrupted. I'm pulling up rebooking options for you — please share your record locator and whether you can accept an alternate connection. For reference, in similar cases we've typically responded like: ""@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist."" If you'd like, I can escalate this to a specialist.",1,5,2,5,2,3,heuristic: overlap=0.378
4,booking_change,booking_change,AUTO-HANDLE,"Happy to help with that change. I can walk through change options — please share your confirmation code and new preferred date/time. For reference, in similar cases we've typically responded like: ""@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.295
5,website_app_issue,website_app_issue,AUTO-HANDLE,"Sorry the site/app gave you trouble. Sorry for the trouble — please share what step fails (with screenshot text/error) and the browser/app version. For reference, in similar cases we've typically responded like: ""@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.333
6,booking_change,booking_change,HUMAN,"Happy to help with that change. I can walk through change options — please share your confirmation code and new preferred date/time. For reference, in similar cases we've typically responded like: ""@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.366
7,baggage_issue,baggage_issue,AUTO-HANDLE,"I'm sorry about the trouble with your bag. I'll help trace the bag — please share your baggage claim/file reference (e.g. DFWAA12345) and delivery address. For reference, in similar cases we've typically responded like: ""@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.308
8,flight_status_info,flight_status_info,HUMAN,"Thanks for reaching out. I can look up the latest status — please confirm the flight number and date. For reference, in similar cases we've typically responded like: ""@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options."" If you'd like, I can escalate this to a specialist.",3,5,4,5,4,4,heuristic: overlap=0.375
9,flight_status_info,flight_status_info,AUTO-HANDLE,"Thanks for reaching out. I can look up the latest status — please confirm the flight number and date. For reference, in similar cases we've typically responded like: ""@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away."" If you'd like, I can escalate this to a specialist.",3,5,4,5,4,4,heuristic: overlap=0.485
10,seat_upgrade,seat_upgrade,AUTO-HANDLE,"Thanks for flagging the seat issue. I'll check seat options — please share your flight/date and preferred seat type. For reference, in similar cases we've typically responded like: ""@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it."" If you'd like, I can escalate this to a specialist.",4,5,4,5,4,4,heuristic: overlap=0.319
11,flight_status_info,loyalty_program,AUTO-HANDLE,"Thanks for your loyalty — let's sort the account issue. I'll check the account — please share the AAdvantage number and which activity is missing. For reference, in similar cases we've typically responded like: ""@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist."" If you'd like, I can escalate this to a specialist.",1,5,2,5,4,3,heuristic: overlap=0.318
