conversation_id,customer_message,agent_response,timestamp
kb-checkin_boarding-27,"@AmericanAir boarding group 5 but flight AA67 nearly empty, why?",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-09T11:00:00Z
kb-refund_compensation-11,@AmericanAir flight credit from AA45 doesn't work online,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-08T23:00:00Z
kb-seat_upgrade-26,@AmericanAir moved from window to middle on AA123 without asking,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-05T23:00:00Z
kb-refund_compensation-34,"@AmericanAir cancelled flight cost me hotel, will you compensate?",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-23T00:00:00Z
kb-customer_service-11,"@AmericanAir on hold 2 hours then hung up, need help with AA67",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-24T09:00:00Z
kb-refund_compensation-32,"@AmericanAir voucher for AA45 never arrived, confirmation ABC371",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-13T14:00:00Z
kb-seat_upgrade-47,@AmericanAir moved from window to middle on AA45 without asking,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-16T05:00:00Z
kb-flight_delay_cancel-0,"@AmericanAir stuck in MIA, flight AA123 delayed 3 hours, going to miss my connection",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-17T19:00:00Z
kb-customer_service-46,@AmericanAir your phone team gave wrong info about AA221 twice,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-24T13:00:00Z
kb-checkin_boarding-36,@AmericanAir check-in kiosk at LAX rejected my passport for AA123,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-28T15:00:00Z
kb-flight_delay_cancel-44,"@AmericanAir you cancelled AA67 last minute in JFK, need rebooking tonight",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-10T07:00:00Z
kb-checkin_boarding-40,@AmericanAir gate changed from B12 to C40 with no announcement for AA908,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-13T20:00:00Z
kb-customer_service-13,"@AmericanAir on hold 2 hours then hung up, need help with AA1502","@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-25T01:00:00Z
kb-website_app_issue-34,@AmericanAir website errors when I try to manage booking ABC455,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-06T19:00:00Z
kb-customer_service-38,@AmericanAir agent at PHX was rude when I asked about AA45,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-10T13:00:00Z
kb-seat_upgrade-0,"@AmericanAir seat 19E on AA908 won't recline, broken",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-12T09:00:00Z
kb-flight_status_info-37,@AmericanAir where is inbound aircraft for AA45?,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-25T20:00:00Z
kb-seat_upgrade-18,@AmericanAir upgrade didn't clear on AA334 though seats open in first,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-10T19:00:00Z
kb-booking_change-41,"@AmericanAir trying to cancel reservation ABC375, site keeps failing",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-16T02:00:00Z
kb-refund_compensation-29,"@AmericanAir voucher for AA67 never arrived, confirmation ABC700",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-11T09:00:00Z
kb-flight_delay_cancel-29,"@AmericanAir diverted to ORD on AA67, now what? no staff here",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-15T13:00:00Z
kb-loyalty_program-29,"@AmericanAir can't log in to AAdvantage, reset not working","@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-17T10:00:00Z
kb-seat_upgrade-4,"@AmericanAir seat 14A on AA221 won't recline, broken",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-12T14:00:00Z
kb-checkin_boarding-8,"@AmericanAir boarding group 5 but flight AA789 nearly empty, why?",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-16T00:00:00Z
kb-flight_status_info-19,@AmericanAir what's the status of AA45 to MIA?,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-17T13:00:00Z
kb-flight_status_info-17,@AmericanAir is AA67 on time out of JFK?,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-20T05:00:00Z
kb-baggage_issue-18,"@AmericanAir lost my luggage at PHX, no updates on tracker",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-28T17:00:00Z
kb-flight_delay_cancel-36,"@AmericanAir missed connection because AA67 was late into ORD, help","@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-12T07:00:00Z
kb-booking_change-31,"@AmericanAir booked wrong date for AA123, need to fix to Friday",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-20T20:00:00Z
kb-checkin_boarding-41,@AmericanAir boarding pass won't load for AA67 at PHX,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-14T17:00:00Z
kb-seat_upgrade-35,@AmericanAir moved from window to middle on AA789 without asking,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-06T12:00:00Z
kb-website_app_issue-35,"@AmericanAir can't log in, password reset email never arrives",@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-25T16:00:00Z
kb-baggage_issue-43,@AmericanAir baggage claim line at DFW is hours long after AA908,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-13T10:00:00Z
kb-flight_status_info-3,@AmericanAir what's the status of AA67 to DCA?,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-13T12:00:00Z
kb-refund_compensation-22,"@AmericanAir cancelled flight cost me hotel, will you compensate?",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-27T23:00:00Z
kb-booking_change-32,"@AmericanAir booked wrong date for AA908, need to fix to Friday",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-26T05:00:00Z
kb-flight_status_info-33,@AmericanAir what's the status of AA334 to ORD?,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-05T16:00:00Z
kb-seat_upgrade-7,@AmericanAir paid for extra legroom on AA45 but got middle seat,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-06T08:00:00Z
kb-checkin_boarding-13,@AmericanAir gate changed from B12 to C40 with no announcement for AA221,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-08T16:00:00Z
kb-seat_upgrade-41,@AmericanAir paid for extra legroom on AA45 but got middle seat,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-11T18:00:00Z
kb-flight_status_info-5,@AmericanAir what's the status of AA1502 to JFK?,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-07T08:00:00Z
kb-checkin_boarding-17,@AmericanAir check-in kiosk at JFK rejected my passport for AA67,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-08T06:00:00Z
kb-baggage_issue-46,"@AmericanAir my bag never arrived at CLT on AA45, claim ABC920",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-12T12:00:00Z
kb-checkin_boarding-37,@AmericanAir boarding pass won't load for AA789 at PHX,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-08T12:00:00Z
kb-refund_compensation-7,@AmericanAir where is my refund for cancelled AA45? ticket ABC140,@customer Thanks for flagging. Please DM your ticket number and contact phone so a specialist can follow up.,2017-10-21T17:00:00Z
kb-flight_status_info-28,@AmericanAir what's the status of AA221 to PHX?,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-05T05:00:00Z
kb-customer_service-22,@AmericanAir your phone team gave wrong info about AA67 twice,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-05T13:00:00Z
kb-refund_compensation-4,"@AmericanAir voucher for AA221 never arrived, confirmation ABC188",@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-09T20:00:00Z
kb-seat_upgrade-22,@AmericanAir upgrade didn't clear on AA45 though seats open in first,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-11T16:00:00Z
kb-checkin_boarding-6,@AmericanAir boarding pass won't load for AA908 at CLT,"@customer We understand the frustration. Please DM your record locator, flight number and date and we'll check options.",2017-10-01T10:00:00Z
kb-customer_service-28,"@AmericanAir counter staff refused to help rebook AA334, terrible service",@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-16T18:00:00Z
kb-baggage_issue-3,"@AmericanAir suitcase came back broken on AA789, wheel ripped off",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-21T13:00:00Z
kb-baggage_issue-39,@AmericanAir baggage claim line at MIA is hours long after AA334,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-21T16:00:00Z
kb-refund_compensation-31,@AmericanAir where is my refund for cancelled AA334? ticket ABC425,@customer We'd like to help. Please DM your AAdvantage number and booking details for review.,2017-10-12T10:00:00Z
kb-refund_compensation-19,@AmericanAir flight credit from AA67 doesn't work online,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-03T22:00:00Z
kb-loyalty_program-5,@AmericanAir miles from AA908 never posted to AAdvantage ABC227,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-02T09:00:00Z
kb-flight_status_info-29,@AmericanAir is AA221 on time out of DCA?,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-06T16:00:00Z
kb-flight_delay_cancel-41,"@AmericanAir flight AA334 to DFW cancelled, app shows no alternatives",@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-18T00:00:00Z
kb-checkin_boarding-25,@AmericanAir check-in kiosk at LAX rejected my passport for AA221,@customer We're sorry for the trouble. Please DM your record locator and flight details so we can look into this right away.,2017-10-10T21:00:00Z
kb-website_app_issue-46,@AmericanAir website errors when I try to manage booking ABC714,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-09T22:00:00Z
kb-loyalty_program-41,@AmericanAir miles from AA1502 never posted to AAdvantage ABC734,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-21T01:00:00Z
kb-customer_service-29,@AmericanAir your phone team gave wrong info about AA123 twice,@customer Sorry to hear this. Please DM your baggage claim number (e.g. DFWAA12345) and delivery address so we can trace it.,2017-10-09T06:00:00Z
kb-flight_status_info-11,@AmericanAir what's the status of AA221 to DCA?,@customer Thanks for reaching out. Please DM your confirmation code and full name so our team can assist.,2017-10-14T03:00:00Z
