id,customer_message,true_intent,predicted_intent,true_escalation,predicted_escalation,top_similarity,generated_reply,failure_type
2,how hard is it to run flights between NY AND DC YOU FUCKS 😑,flight_delay_cancel,flight_status_info,True,HUMAN,0.265,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
3,"Collossal fail. Held up are flight, worst customer service comped us 38$ for two people for dinner and breakfast.",refund_compensation,customer_service,False,HUMAN,0.369,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.45 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
5,Thanks @AmericanAir. Again. Then screwing me over on the 2nd flight because your agent was inept. Awesome.,customer_service,flight_delay_cancel,True,HUMAN,0.185,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.14 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
6,didn't let me in my purchased seat due to overbooking &amp; had a 8hr layover. Instead I received $12 lunch voucher.. not cool,seat_upgrade,refund_compensation,True,HUMAN,0.268,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
7,I think there should be a frequent flyer program for pets. @AmericanAir,loyalty_program,flight_status_info,False,HUMAN,0.227,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.19 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
9,Hey look what was on my @AmericanAir flight today:,customer_service,flight_status_info,False,HUMAN,0.323,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.21 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
10,how about a free flight?,refund_compensation,flight_delay_cancel,False,HUMAN,0.248,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
12,Y’all fucking suck @AmericanAir,customer_service,flight_status_info,False,HUMAN,0.22,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.21 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
14,might be my new favorite airline after my flight to Miami. I will confirm after I make it home....,customer_service,baggage_issue,False,HUMAN,0.174,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
16,just totally screwed this lady over...,customer_service,flight_status_info,True,HUMAN,0.176,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.17 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
18,worst experience ever. Trip to U.K. Scheduled for 7:25pm and it is 3 am and still haven't left. Waiting 4 hours on catering!,flight_delay_cancel,refund_compensation,True,HUMAN,0.318,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
19,Will send it through now thank you,customer_service,flight_status_info,False,HUMAN,0.243,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.15 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
22,Just met some of the worst @AmericanAir pre-boarding crew members ... @jetblue do you have any open 💺 to Miami. I don’t expect it to get any better. Please DM. I want a refund.,customer_service,refund_compensation,True,HUMAN,0.221,"Thank you for contacting American Airlines. Because your inquiry requires specialist review (Low intent confidence (0.16 < 0.55)), we have escalated your case to a human support representative. Please DM your confirmation code or record locator, along with your contact phone number, so a specialist can assist you directly.",intent_mismatch
